Sample Name*,Concentration* (ng/ul),Volume* (ul),Tube or Plate Label*,Sample Container*,Plate location (well #)* required if samples provided in a plate.,Sample Format*,Was Sample DNAse treated?*,Known / Suspected Organisms,Biosafety Material Category*,Sample Isolation Method*,Collection Year*,Collection Month*,Collection Day*,Sample Isolated From*,Collection Site or Growth Conditions* (required for RNA samples),Latitude*,Longitude*,Depth* (in meters) or minimum depth if a range,Maximum depth (in meters) if a range,Elevation* (in meters) or minimum elevation if a range,Maximum elevation (in meters) if a range,Country*,Sample Contact Name,Seq Project PI Name (No edit),Proposal ID (No edit),Control Type,Control Organism Name,Control Organism Tax ID,Internal Collaborator Sample Name
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K5,10,25,XUPVQ-6,384,K5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L5,10,25,XUPVQ-6,384,L5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M5,10,25,XUPVQ-6,384,M5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N5,10,25,XUPVQ-6,384,N5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O5,10,25,XUPVQ-6,384,O5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P5,10,25,XUPVQ-6,384,P5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A6,10,25,XUPVQ-6,384,A6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B6,10,25,XUPVQ-6,384,B6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C6,10,25,XUPVQ-6,384,C6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D6,10,25,XUPVQ-6,384,D6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E6,10,25,XUPVQ-6,384,E6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F6,10,25,XUPVQ-6,384,F6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G6,10,25,XUPVQ-6,384,G6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H6,10,25,XUPVQ-6,384,H6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I6,10,25,XUPVQ-6,384,I6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J6,10,25,XUPVQ-6,384,J6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K6,10,25,XUPVQ-6,384,K6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L6,10,25,XUPVQ-6,384,L6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M6,10,25,XUPVQ-6,384,M6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N6,10,25,XUPVQ-6,384,N6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O6,10,25,XUPVQ-6,384,O6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P6,10,25,XUPVQ-6,384,P6,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P6
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A7,10,25,XUPVQ-6,384,A7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B7,10,25,XUPVQ-6,384,B7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C7,10,25,XUPVQ-6,384,C7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D7,10,25,XUPVQ-6,384,D7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E7,10,25,XUPVQ-6,384,E7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F7,10,25,XUPVQ-6,384,F7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G7,10,25,XUPVQ-6,384,G7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H7,10,25,XUPVQ-6,384,H7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I7,10,25,XUPVQ-6,384,I7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J7,10,25,XUPVQ-6,384,J7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K7,10,25,XUPVQ-6,384,K7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L7,10,25,XUPVQ-6,384,L7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M7,10,25,XUPVQ-6,384,M7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N7,10,25,XUPVQ-6,384,N7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O7,10,25,XUPVQ-6,384,O7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O7
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P7,10,25,XUPVQ-6,384,P7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P7
Uncultured microbe JGI dim_BP9735_FULL.1_A8,10,25,XUPVQ-6,384,A8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A8
Uncultured microbe JGI dim_BP9735_FULL.1_B8,10,25,XUPVQ-6,384,B8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B8
Uncultured microbe JGI dim_BP9735_FULL.1_C8,10,25,XUPVQ-6,384,C8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C8
Uncultured microbe JGI dim_BP9735_FULL.1_D8,10,25,XUPVQ-6,384,D8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D8
Uncultured microbe JGI dim_BP9735_FULL.1_E8,10,25,XUPVQ-6,384,E8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E8
Uncultured microbe JGI dim_BP9735_FULL.1_F8,10,25,XUPVQ-6,384,F8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F8
Uncultured microbe JGI dim_BP9735_FULL.1_G8,10,25,XUPVQ-6,384,G8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G8
Uncultured microbe JGI dim_BP9735_FULL.1_H8,10,25,XUPVQ-6,384,H8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H8
Uncultured microbe JGI dim_BP9735_FULL.1_I8,10,25,XUPVQ-6,384,I8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I8
Uncultured microbe JGI dim_BP9735_FULL.1_J8,10,25,XUPVQ-6,384,J8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J8
Uncultured microbe JGI dim_BP9735_FULL.1_K8,10,25,XUPVQ-6,384,K8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K8
Uncultured microbe JGI dim_BP9735_FULL.1_L8,10,25,XUPVQ-6,384,L8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L8
Uncultured microbe JGI dim_BP9735_FULL.1_M8,10,25,XUPVQ-6,384,M8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M8
Uncultured microbe JGI dim_BP9735_FULL.1_N8,10,25,XUPVQ-6,384,N8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N8
Uncultured microbe JGI dim_BP9735_FULL.1_O8,10,25,XUPVQ-6,384,O8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O8
Uncultured microbe JGI dim_BP9735_FULL.1_P8,10,25,XUPVQ-6,384,P8,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P8
Uncultured microbe JGI dim_BP9735_FULL.1_A9,10,25,XUPVQ-6,384,A9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A9
Uncultured microbe JGI dim_BP9735_FULL.1_B9,10,25,XUPVQ-6,384,B9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B9
Uncultured microbe JGI dim_BP9735_FULL.1_C9,10,25,XUPVQ-6,384,C9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C9
Uncultured microbe JGI dim_BP9735_FULL.1_D9,10,25,XUPVQ-6,384,D9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D9
Uncultured microbe JGI dim_BP9735_FULL.1_E9,10,25,XUPVQ-6,384,E9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E9
Uncultured microbe JGI dim_BP9735_FULL.1_F9,10,25,XUPVQ-6,384,F9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F9
Uncultured microbe JGI dim_BP9735_FULL.1_G9,10,25,XUPVQ-6,384,G9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G9
Uncultured microbe JGI dim_BP9735_FULL.1_H9,10,25,XUPVQ-6,384,H9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H9
Uncultured microbe JGI dim_BP9735_FULL.1_I9,10,25,XUPVQ-6,384,I9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I9
Uncultured microbe JGI dim_BP9735_FULL.1_J9,10,25,XUPVQ-6,384,J9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J9
Uncultured microbe JGI dim_BP9735_FULL.1_K9,10,25,XUPVQ-6,384,K9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K9
Uncultured microbe JGI dim_BP9735_FULL.1_L9,10,25,XUPVQ-6,384,L9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L9
Uncultured microbe JGI dim_BP9735_FULL.1_M9,10,25,XUPVQ-6,384,M9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M9
Uncultured microbe JGI dim_BP9735_FULL.1_N9,10,25,XUPVQ-6,384,N9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N9
Uncultured microbe JGI dim_BP9735_FULL.1_O9,10,25,XUPVQ-6,384,O9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O9
Uncultured microbe JGI dim_BP9735_FULL.1_P9,10,25,XUPVQ-6,384,P9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P9
Uncultured microbe JGI dim_BP9735_FULL.1_A10,10,25,XUPVQ-6,384,A10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A10
Uncultured microbe JGI dim_BP9735_FULL.1_B10,10,25,XUPVQ-6,384,B10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B10
Uncultured microbe JGI dim_BP9735_FULL.1_C10,10,25,XUPVQ-6,384,C10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C10
Uncultured microbe JGI dim_BP9735_FULL.1_D10,10,25,XUPVQ-6,384,D10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D10
Uncultured microbe JGI dim_BP9735_FULL.1_E10,10,25,XUPVQ-6,384,E10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E10
Uncultured microbe JGI dim_BP9735_FULL.1_F10,10,25,XUPVQ-6,384,F10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F10
Uncultured microbe JGI dim_BP9735_FULL.1_G10,10,25,XUPVQ-6,384,G10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G10
Uncultured microbe JGI dim_BP9735_FULL.1_H10,10,25,XUPVQ-6,384,H10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H10
Uncultured microbe JGI dim_BP9735_FULL.1_I10,10,25,XUPVQ-6,384,I10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I10
Uncultured microbe JGI dim_BP9735_FULL.1_J10,10,25,XUPVQ-6,384,J10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J10
Uncultured microbe JGI dim_BP9735_FULL.1_K10,10,25,XUPVQ-6,384,K10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K10
Uncultured microbe JGI dim_BP9735_FULL.1_L10,10,25,XUPVQ-6,384,L10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L10
Uncultured microbe JGI dim_BP9735_FULL.1_M10,10,25,XUPVQ-6,384,M10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M10
Uncultured microbe JGI dim_BP9735_FULL.1_N10,10,25,XUPVQ-6,384,N10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N10
Uncultured microbe JGI dim_BP9735_FULL.1_O10,10,25,XUPVQ-6,384,O10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O10
Uncultured microbe JGI dim_BP9735_FULL.1_P10,10,25,XUPVQ-6,384,P10,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P10
Uncultured microbe JGI dim_BP9735_FULL.1_A11,10,25,XUPVQ-6,384,A11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A11
Uncultured microbe JGI dim_BP9735_FULL.1_B11,10,25,XUPVQ-6,384,B11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B11
Uncultured microbe JGI dim_BP9735_FULL.1_C11,10,25,XUPVQ-6,384,C11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C11
Uncultured microbe JGI dim_BP9735_FULL.1_D11,10,25,XUPVQ-6,384,D11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D11
Uncultured microbe JGI dim_BP9735_FULL.1_E11,10,25,XUPVQ-6,384,E11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E11
Uncultured microbe JGI dim_BP9735_FULL.1_F11,10,25,XUPVQ-6,384,F11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F11
Uncultured microbe JGI dim_BP9735_FULL.1_G11,10,25,XUPVQ-6,384,G11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G11
Uncultured microbe JGI dim_BP9735_FULL.1_H11,10,25,XUPVQ-6,384,H11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H11
Uncultured microbe JGI dim_BP9735_FULL.1_I11,10,25,XUPVQ-6,384,I11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I11
Uncultured microbe JGI dim_BP9735_FULL.1_J11,10,25,XUPVQ-6,384,J11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J11
Uncultured microbe JGI dim_BP9735_FULL.1_K11,10,25,XUPVQ-6,384,K11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K11
Uncultured microbe JGI dim_BP9735_FULL.1_L11,10,25,XUPVQ-6,384,L11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L11
Uncultured microbe JGI dim_BP9735_FULL.1_M11,10,25,XUPVQ-6,384,M11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M11
Uncultured microbe JGI dim_BP9735_FULL.1_N11,10,25,XUPVQ-6,384,N11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N11
Uncultured microbe JGI dim_BP9735_FULL.1_O11,10,25,XUPVQ-6,384,O11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O11
Uncultured microbe JGI dim_BP9735_FULL.1_P11,10,25,XUPVQ-6,384,P11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P11
Uncultured microbe JGI dim_BP9735_FULL.1_A12,10,25,XUPVQ-6,384,A12,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A12
Uncultured microbe JGI dim_BP9735_FULL.1_B12,10,25,XUPVQ-6,384,B12,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B12
Uncultured microbe JGI dim_BP9735_FULL.1_C12,10,25,XUPVQ-6,384,C12,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C12
Uncultured microbe JGI dim_BP9735_FULL.1_D12,10,25,XUPVQ-6,384,D12,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D12
Uncultured microbe JGI dim_BP9735_FULL.1_E12,10,25,XUPVQ-6,384,E12,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E12
Uncultured microbe JGI dim_BP9735_FULL.1_F12,10,25,XUPVQ-6,384,F12,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F12
